,UNIQUE-ID,ERXN-NUMBER,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
2492,1.2.4.4-RXN,"['ENZRXN-12522', 'ENZRXN-12057']",['EC-1.2.4.4'],"['2-KETO-ISOVALERATE', 'BCAA-dehydrogenase-lipoyl', 'PROTON']","['BCAA-dehydrogenase-2MP-DH-lipoyl', 'CARBON-DIOXIDE']",-91.224846
2493,3-KETOGLUCOSIDASE-RXN,['ENZRXN-6271'],['EC-3.2.1'],"['CPD-384', 'WATER']","['BETA-D-FRUCTOSE', '3-DEHYDRO-ALPHA-GLUCOSE']",-3.1129913
2494,RXN0-6985,N/A,['EC-3.4.13.18'],"['CPD-13390', 'WATER']","['MET', 'L-ALPHA-ALANINE']",-1.2129974
2495,RXN-13260,['ENZRXN-20234'],['EC-2.3.1'],"['ACYL-ACP', 'MALONYL-COA', 'Donor-H2', 'PROTON']","['Terminal-Olefins', 'CARBON-DIOXIDE', 'ACP', 'CO-A', 'Acceptor']",N/A
2496,RXN-7835,"['ENZRXN3O-10470', 'ENZRXN-12593']",['EC-1.3.1.34'],"['2-trans-4-cis-dienoyl-CoAs', 'NADPH']","['Trans-3-enoyl-CoAs', 'NADP', 'PROTON']",-29.107544
2497,3.4.21.93-RXN,N/A,['EC-3.4.21.93'],"['WATER', 'General-Protein-Substrates']",['Peptides-holder'],-12.679367
2498,RXN-17860,['ENZRXN-24940'],['EC-2.3.1.255'],"['ACETYL-COA', 'N-terminal-L-alanine']","['N-terminal-N-Ac-L-alanine', 'CO-A', 'PROTON']",-15.561096
2499,RXN66-350,"['ENZRXN66-6856', 'ENZRXN66-6855']",['EC-1.1.1.145'],"['CPD66-23', 'NAD']","['NADH', 'PROTON', 'CPD66-27']",-0.3782196
2500,RXN-15903,N/A,['EC-3.1.1'],"['CPD-16522', 'WATER']","['D-GALACTARATE', 'PROTON']",-6.971237
2501,RXN1G-1003,['ENZRXN1G-1163'],['|EC-2.3.1.cu|'],"['cis-delta17-C36-ACPs', 'MALONYL-ACP', 'PROTON']","['cis-delta19-3-oxo-C38-ACPs', 'ACP', 'CARBON-DIOXIDE']",-6.862915
2502,RXN-13500,N/A,N/A,"['CPD-8250', 'Red-NADPH-Hemoprotein-Reductases', 'OXYGEN-MOLECULE']","['CPD-14494', 'Ox-NADPH-Hemoprotein-Reductases', 'WATER']",-81.78473
2503,5.3.3.15-RXN,['ENZRXN-23796'],['EC-5.3.2.7'],['CPD-9432'],['CPD-9433'],0.
2504,RXN-13031,"['ENZRXN-19961', 'ENZRXN-19960']",['EC-3.5.1'],"['Lipoyl-Protein-N6-lipoyllysine', 'WATER']","['Lipoyl-Protein-L-Lysine', 'LIPOIC-ACID']",111.8952
2505,RXN-18751,N/A,['EC-5.3.3.8'],['CPD-20047'],['CPD0-1306'],60.77002
2506,RXN-16368,"['ENZRXN-23561', 'ENZRXN-23558', 'ENZRXN-23557']",N/A,['CPD-17610'],"['CPD-17606', 'CARBON-DIOXIDE']",-13.059998
