,entry,product
217,1.14.19.69,"['C18013', 'C00139', 'C18014', 'C18012', 'C00138']"
218,1.14.19.74,"['C21954', 'C10882', 'C05366', 'C21954']"
219,1.14.19.75,"['C22018', 'C00996', 'C22020', 'C22017', 'C00999', 'C22019']"
220,1.14.20.4,"['C21381', 'C00042', 'C21832', 'C21418', 'C00026', 'C21832']"
221,1.14.20.7,"['C00042', 'C17349', 'C03912', 'C20330', 'C00062', 'C00026', 'C20330']"
222,1.14.20.14,"['C21974', 'C00042', 'C21975', 'C21973', 'C00026', 'C00698', 'C21840']"
223,1.14.99.46,"['C20231', 'C20232', 'C00106', 'C01847', 'C00178']"
224,1.14.99.48,"['C20667', 'C14818', 'C00067', 'C20666']"
225,1.14.99.57,"['C21624', 'C14818', 'C21625']"
226,1.14.99.58,"['C21723', 'C00237', 'C14818', 'C21724']"
227,1.14.99.63,"['C08592', 'C08583', 'C02094', 'C08592']"
228,1.14.99.64,"['C15968', 'C08580', 'C06098', 'C15968']"
229,1.16.3.2,['C14818']
230,1.16.3.3,"['C19611', 'C19610', 'C19611']"
231,1.17.3.4,"['C04110', 'C21414', 'C03840', 'C21414']"
232,1.17.4.4,"['C05849', 'C02059', 'C02059', 'C03313']"
233,1.17.7.4,"['C11811', 'C00138', 'C00129', 'C00139', 'C00235']"
234,1.17.9.1,"['C00633', 'C05358', 'C17467', 'C01468', 'C05357', 'C17467']"
235,1.17.98.2,"['C21582', 'C05198', 'C00073', 'C21407', 'C20650', 'C18161', 'C21407', 'C20650']"
236,1.17.99.4,"['C00813', 'C05281', 'C00106', 'C00178']"
237,1.18.1.3,NA
238,1.21.1.1,"['C01060', 'C02515', 'C00082', 'C00708', 'C02515']"
239,1.21.3.6,"['C16409', 'C16410', 'C16407', 'C16408']"
240,1.21.4.5,"['C07099', 'C00051', 'C03434', 'C07097', 'C00698', 'C00127', 'C07099']"
241,1.21.98.3,"['C11831', 'C05198', 'C00073', 'C04536']"
242,1.23.5.1,"['C06098', 'C05422', 'C08579', 'C08614', 'C00072', 'C08579']"
243,2.1.1.44,"['C05575', 'C04259', 'C00135', 'C04259']"
244,2.1.1.63,"['C00039', 'C03800', 'C04250', 'C02743', 'C00039']"
245,2.1.1.69,"['C01557', 'C00758']"
