,entry,product
362,1.3.2.3,C00125
364,1.3.3.13,C20520
366,1.3.3.13,C20521
367,1.3.3.13,C20519
370,1.3.5.5,C19764
371,1.3.5.5,C16693
372,1.3.5.5,C19765
373,1.3.5.5,C05421
374,1.3.5.5,C02061
376,1.3.5.6,C15858
377,1.3.5.6,C15603
378,1.3.5.6,C19759
379,1.3.5.6,C15857
380,1.3.5.6,C15602
382,1.3.7.15,C02139
383,1.3.7.15,C00138
387,1.3.7.15,C18154
388,1.3.7.15,C18152
389,1.3.7.15,C00139
392,1.3.7.15,C18155
393,1.3.7.15,C18153
395,1.3.8.2,C16144
397,1.3.8.6,C00877
399,1.3.8.6,C04570
400,1.3.8.6,C02411
401,1.3.8.6,C00527
402,1.3.8.6,C04253
404,1.3.99.25,C01767
406,1.3.99.25,C11383
408,1.3.99.26,C05432
410,1.3.99.26,C05431
411,1.3.99.26,C05430
414,1.3.99.28,C05431
416,1.3.99.28,C05414
417,1.3.99.28,C05430
418,1.3.99.28,C05421
422,1.3.99.29,C05430
424,1.3.99.29,C05414
425,1.3.99.29,C05421
428,1.3.99.30,C15867
430,1.3.99.30,C05414
431,1.3.99.30,C05430
432,1.3.99.30,C05431
433,1.3.99.30,C05432
434,1.3.99.30,C05421
440,1.3.99.31,C05432
442,1.3.99.31,C05414
443,1.3.99.31,C05430
444,1.3.99.31,C05431
445,1.3.99.31,C05421
450,1.3.99.37,C22059
452,1.3.99.37,C22058
454,1.3.99.37,C22060
455,1.4.1.13,C00064
456,1.4.1.13,C00026
461,1.4.1.13,C00025
465,1.4.1.18,C00450
469,1.4.1.18,C04076
471,1.4.1.18,C00047
478,1.4.3.5,C00647
481,1.4.3.5,C00627
482,1.4.3.15,C00026
485,1.4.3.15,C00036
486,1.4.3.15,C00217
489,1.4.3.15,C00402
490,1.4.3.19,C00048
493,1.4.3.19,C15809
494,1.4.3.19,C00037
498,1.4.7.1,C00064
499,1.4.7.1,C00026
500,1.4.7.1,C00138
504,1.4.7.1,C00025
505,1.4.7.1,C00139
508,1.4.99.6,C03771
511,1.4.99.6,C21026
512,1.4.99.6,C00792
516,1.5.1.1,C04092
520,1.5.1.1,C03564
521,1.5.1.1,C00408
524,1.5.1.1,C00148
525,1.5.1.21,C04092
528,1.5.1.21,C03564
529,1.5.1.21,C00408
531,1.5.1.21,C00148
532,1.5.1.43,C00441
533,1.5.1.43,C00986
536,1.5.1.43,C00134
537,1.5.1.43,C18174
540,1.5.1.43,C18172
541,1.5.3.5,C01297
543,1.5.3.5,C21075
544,1.5.3.5,C01056
548,1.5.3.6,C01297
550,1.5.3.6,C21075
551,1.5.3.6,C03043
555,1.5.3.12,C06162
557,1.5.3.12,C06327
558,1.5.3.12,C06165
559,1.5.3.12,C05191
561,1.5.3.12,C05194
562,1.5.3.12,C05316
563,1.5.3.13,C00134
564,1.5.3.13,C18170
566,1.5.3.13,C00315
567,1.5.3.13,C00612
570,1.5.3.13,C02567
571,1.5.3.17,C00315
572,1.5.3.17,C05665
574,1.5.3.17,C00134
575,1.5.3.17,C18170
576,1.5.3.17,C00750
580,1.5.3.17,C02567
581,1.5.3.17,C00612
585,1.6.3.5,C21423
588,1.6.3.5,C21424
589,1.7.1.16,C06813
592,1.7.1.16,C06876
593,1.7.1.16,C02720
597,1.7.2.6,C00088
598,1.7.2.6,C00126
600,1.7.2.6,C00533
601,1.7.2.6,C00192
603,1.7.2.6,C00125
604,1.7.3.6,C00088
607,1.7.3.6,C20937
608,1.7.3.6,C00126
609,1.7.3.6,C00125
610,1.7.3.6,C00192
616,1.8.4.11,C03895
617,1.8.4.11,C00342
618,1.8.4.11,C15999
619,1.8.4.11,C03023
620,1.8.4.11,C00343
622,1.8.4.11,C00073
623,1.8.99.5,C00094
626,1.8.99.5,C00283
629,1.10.3.16,C21409
631,1.10.3.16,C21410
632,1.10.3.16,C21412
633,1.10.3.16,C21408
636,1.10.3.16,C21411
637,1.10.3.16,C21413
640,1.11.1.8,C16732
641,1.11.1.8,C16731
642,1.11.1.8,C16729
643,1.11.1.8,C16734
644,1.11.1.8,C16730
645,1.11.1.8,C00708
648,1.11.1.8,C16733
651,1.11.1.11,C00072
652,1.11.1.11,C05422
654,1.11.1.11,C01041
659,1.11.1.14,C02201
660,1.11.1.14,C01502
661,1.11.1.14,C00266
663,1.11.1.14,C21421
664,1.11.1.14,C21419
666,1.11.1.14,C21420
667,1.11.1.16,C00755
668,1.11.1.16,C01502
669,1.11.1.16,C00266
672,1.11.1.16,C21422
681,1.13.11.12,C01595
683,1.13.11.12,C06427
684,1.13.11.16,C04479
685,1.13.11.16,C12624
686,1.13.11.16,C04044
688,1.13.11.16,C12623
689,1.13.11.18,C00051
690,1.13.11.18,C00094
692,1.13.11.18,C21787
693,1.13.11.18,C17267
697,1.13.11.34,C00909
699,1.13.11.34,C05356
700,1.13.11.34,C00219
703,1.13.11.51,C13453
704,1.13.11.51,C19812
705,1.13.11.51,C14045
706,1.13.11.51,C19811
708,1.13.11.51,C13433
709,1.13.11.51,C13431
710,1.13.11.52,C15605
711,1.13.11.52,C02700
712,1.13.11.52,C00525
714,1.13.11.52,C00078
715,1.13.11.64,C20366
716,1.13.11.64,C00088
717,1.13.11.64,C20367
718,1.13.11.64,C19789
721,1.13.11.77,C20702
722,1.13.11.77,C20703
723,1.13.11.77,C20704
724,1.13.11.77,C00712
726,1.13.11.77,C01595
727,1.13.11.77,C06427
728,1.13.11.84,C19730
729,1.13.11.84,C19731
730,1.13.11.84,C20894
731,1.13.11.84,C06098
735,1.13.12.5,C00982
738,1.13.12.24,C15037
740,1.13.12.24,C00076
741,1.14.11.21,C06657
742,1.14.11.21,C00042
744,1.14.11.21,C06659
746,1.14.11.21,C06660
747,1.14.11.21,C06656
748,1.14.11.21,C00026
750,1.14.11.21,C06658
752,1.14.11.25,C15501
753,1.14.11.25,C00042
755,1.14.11.25,C15502
756,1.14.11.25,C15500
757,1.14.11.25,C00026
759,1.14.11.25,C15485
760,1.14.11.27,C00042
761,1.14.11.27,C00067
763,1.14.11.27,C05544
764,1.14.11.27,C05545
765,1.14.11.27,C00026
768,1.14.11.36,C20397
769,1.14.11.36,C00042
772,1.14.11.36,C20398
773,1.14.11.36,C20399
774,1.14.11.36,C00026
777,1.14.11.43,C03359
778,1.14.11.43,C00022
779,1.14.11.43,C00042
781,1.14.11.43,C02625
782,1.14.11.43,C20686
783,1.14.11.43,C00026
785,1.14.11.43,C20687
786,1.14.11.44,C03359
787,1.14.11.44,C00022
788,1.14.11.44,C00042
790,1.14.11.44,C02625
791,1.14.11.44,C18608
792,1.14.11.44,C00026
794,1.14.11.44,C20685
795,1.14.12.19,C11588
797,1.14.12.19,C12623
801,1.14.12.19,C00423
802,1.14.13.39,C00327
803,1.14.13.39,C00533
806,1.14.13.39,C00062
810,1.14.13.50,C18933
812,1.14.13.50,C00698
814,1.14.13.50,C03434
815,1.14.13.50,C02575
819,1.14.13.50,C15505
820,1.14.13.54,C15506
821,1.14.13.54,C15507
824,1.14.13.54,C03027
825,1.14.13.54,C04676
826,1.14.13.54,C00280
827,1.14.13.54,C00033
828,1.14.13.54,C06479
832,1.14.13.54,C00410
834,1.14.13.54,C01176
835,1.14.13.81,C11831
838,1.14.13.81,C04536
842,1.14.13.105,C18027
845,1.14.13.105,C11414
846,1.14.13.105,C00843
850,1.14.13.105,C18019
851,1.14.13.106,C17954
854,1.14.13.106,C17953
855,1.14.13.106,C17955
856,1.14.13.106,C16269
869,1.14.13.122,C16541
872,1.14.13.122,C02139
876,1.14.13.127,C04044
879,1.14.13.127,C12623
880,1.14.13.127,C11457
884,1.14.13.127,C12621
885,1.14.13.178,C07480
889,1.14.13.178,C00067
890,1.14.13.178,C16357
891,1.14.13.178,C16353
892,1.14.13.178,C07481
897,1.14.13.178,C07130
898,1.14.13.178,C13747
899,1.14.13.179,C16353
903,1.14.13.179,C00067
904,1.14.13.179,C00385
905,1.14.13.179,C07480
910,1.14.13.179,C16357
911,1.14.13.181,C12430
914,1.14.13.181,C01907
915,1.14.13.181,C12429
920,1.14.13.187,C20767
923,1.14.13.187,C20766
924,1.14.13.187,C20765
929,1.14.13.222,C21141
933,1.14.13.222,C21331
934,1.14.13.222,C21330
940,1.14.13.224,C21135
944,1.14.13.224,C21132
945,1.14.13.224,C21134
949,1.14.13.224,C21131
950,1.14.14.14,C00058
952,1.14.14.14,C03161
953,1.14.14.14,C05294
954,1.14.14.14,C05295
955,1.14.14.14,C00468
956,1.14.14.14,C05290
957,1.14.14.14,C00535
959,1.14.14.14,C03024
962,1.14.14.14,C00280
964,1.14.14.14,C05297
965,1.14.14.21,C21150
968,1.14.14.21,C21149
969,1.14.14.21,C20125
970,1.14.14.21,C01847
973,1.14.14.29,C15520
974,1.14.14.29,C03161
976,1.14.14.29,C15519
977,1.14.14.29,C03024
979,1.14.14.30,C21369
983,1.14.14.30,C02787
986,1.14.14.30,C01847
987,1.14.14.32,C00280
988,1.14.14.32,C00033
989,1.14.14.32,C03161
991,1.14.14.32,C01227
992,1.14.14.32,C01176
993,1.14.14.32,C03024
995,1.14.14.32,C05138
996,1.14.14.33,C00048
999,1.14.14.33,C21396
1000,1.14.14.33,C00284
1001,1.14.14.33,C01847
1004,1.14.14.36,C04350
1005,1.14.14.36,C03161
1008,1.14.14.36,C03004
1009,1.14.14.36,C15503
1010,1.14.14.36,C00082
1012,1.14.14.36,C03024
1015,1.14.14.37,C03742
1016,1.14.14.37,C03161
1018,1.14.14.37,C04353
1019,1.14.14.37,C03766
1020,1.14.14.37,C04350
1021,1.14.14.37,C03024
1025,1.14.14.38,C03219
1026,1.14.14.38,C03161
1029,1.14.14.38,C20313
1030,1.14.14.38,C20314
1031,1.14.14.38,C00183
1032,1.14.14.38,C03024
1036,1.14.14.39,C03161
1039,1.14.14.39,C20310
1040,1.14.14.39,C20311
1041,1.14.14.39,C00407
1042,1.14.14.39,C03024
1046,1.14.14.40,C19714
1047,1.14.14.40,C03161
1050,1.14.14.40,C19712
1051,1.14.14.40,C19715
1052,1.14.14.40,C00079
1053,1.14.14.40,C03024
1057,1.14.14.41,C18796
1058,1.14.14.41,C03161
1060,1.14.14.41,C20312
1061,1.14.14.41,C21525
1062,1.14.14.41,C02659
1063,1.14.14.41,C20315
1064,1.14.14.41,C02420
1065,1.14.14.41,C19491
1066,1.14.14.41,C03024
1070,1.14.14.41,C03219
1073,1.14.14.42,C21535
1074,1.14.14.42,C03161
1077,1.14.14.42,C21536
1078,1.14.14.42,C21537
1079,1.14.14.42,C21534
1080,1.14.14.42,C03024
1084,1.14.14.43,C21539
1085,1.14.14.43,C03161
1087,1.14.14.43,C21538
1088,1.14.14.43,C21535
1089,1.14.14.43,C03024
1090,1.14.14.43,C00051
1093,1.14.14.44,C00561
1094,1.14.14.44,C03161
1096,1.14.14.44,C16075
1097,1.14.14.44,C16074
1098,1.14.14.44,C19714
1099,1.14.14.44,C03024
1103,1.14.14.45,C21620
1104,1.14.14.45,C03161
1106,1.14.14.45,C17204
1107,1.14.14.45,C21622
1108,1.14.14.45,C21623
1109,1.14.14.45,C03024
1110,1.14.14.45,C00051
1113,1.14.14.45,C19714
1115,1.14.14.46,C19845
1116,1.14.14.46,C15596
1121,1.14.14.46,C20683
1126,1.14.14.47,C00327
1127,1.14.14.47,C00533
1130,1.14.14.47,C05933
1131,1.14.14.47,C00062
1135,1.14.14.49,C21697
1136,1.14.14.49,C03161
1138,1.14.14.49,C21699
1139,1.14.14.49,C21696
1140,1.14.14.49,C03024
1143,1.14.14.50,C21678
1144,1.14.14.50,C03161
1146,1.14.14.50,C21683
1147,1.14.14.50,C11675
1148,1.14.14.50,C03024
1150,1.14.14.50,C09244
1151,1.14.14.57,C15516
1152,1.14.14.57,C03161
1154,1.14.14.57,C15517
1155,1.14.14.57,C05465
1156,1.14.14.57,C03024
1158,1.14.14.57,C03990
1159,1.14.14.69,C21826
1160,1.14.14.69,C03161
1162,1.14.14.69,C21827
1163,1.14.14.69,C21828
1164,1.14.14.69,C21829
1165,1.14.14.69,C18226
1166,1.14.14.69,C03024
1170,1.14.14.71,C21841
1171,1.14.14.71,C03161
1173,1.14.14.71,C21842
1174,1.14.14.71,C19819
1175,1.14.14.71,C03024
1178,1.14.14.73,C02809
1179,1.14.14.73,C03161
1181,1.14.14.73,C21882
1182,1.14.14.73,C01779
1183,1.14.14.73,C03024
1185,1.14.14.73,C21876
1186,1.14.14.76,C21831
1187,1.14.14.76,C03161
1189,1.14.14.76,C20146
1190,1.14.14.76,C20145
1192,1.14.14.76,C03024
1194,1.14.14.81,C15609
1195,1.14.14.81,C03161
1197,1.14.14.81,C15204
1198,1.14.14.81,C00766
1199,1.14.14.81,C03024
1202,1.14.14.84,C20221
1203,1.14.14.84,C03161
1205,1.14.14.84,C04433
1206,1.14.14.84,C03985
1207,1.14.14.84,C03024
1210,1.14.14.86,C11874
1211,1.14.14.86,C03161
1213,1.14.14.86,C11872
1214,1.14.14.86,C11873
1215,1.14.14.86,C06090
1216,1.14.14.86,C03024
1220,1.14.14.87,C15567
1222,1.14.14.87,C03161
1223,1.14.14.87,C12631
1224,1.14.14.87,C09762
1226,1.14.14.87,C03024
1227,1.14.14.87,C00509
1228,1.14.14.95,C19678
1229,1.14.14.95,C03161
1231,1.14.14.95,C19676
1232,1.14.14.95,C19677
1233,1.14.14.95,C16141
1234,1.14.14.95,C03024
1238,1.14.14.107,C11857
1239,1.14.14.107,C03161
1241,1.14.14.107,C11875
1242,1.14.14.107,C06093
1243,1.14.14.107,C11874
1244,1.14.14.107,C03024
1248,1.14.14.111,C20149
1249,1.14.14.111,C03161
1251,1.14.14.111,C20147
1252,1.14.14.111,C20148
1253,1.14.14.111,C18225
1255,1.14.14.111,C03024
1258,1.14.14.114,C20309
1259,1.14.14.114,C03161
1261,1.14.14.114,C20307
1262,1.14.14.114,C20308
1263,1.14.14.114,C16028
1265,1.14.14.114,C03024
1268,1.14.14.115,C02283
1269,1.14.14.115,C03161
1271,1.14.14.115,C20510
1272,1.14.14.115,C20511
1273,1.14.14.115,C19943
1275,1.14.14.115,C03024
1278,1.14.14.116,C20500
1279,1.14.14.116,C03161
1281,1.14.14.116,C20501
1282,1.14.14.116,C20499
1283,1.14.14.116,C03024
1285,1.14.14.117,C06800
1286,1.14.14.117,C03161
1288,1.14.14.117,C00132
1290,1.14.14.117,C16753
1291,1.14.14.117,C03686
1292,1.14.14.117,C03024
1294,1.14.14.117,C03944
1295,1.14.14.124,C20853
1296,1.14.14.124,C03161
1298,1.14.14.124,C20852
1299,1.14.14.124,C20851
1301,1.14.14.124,C03024
1303,1.14.14.126,C17148
1304,1.14.14.126,C03161
1306,1.14.14.126,C20945
1307,1.14.14.126,C20946
1308,1.14.14.126,C08616
1310,1.14.14.126,C03024
1313,1.14.14.129,C21005
1314,1.14.14.129,C03161
1316,1.14.14.129,C21006
1317,1.14.14.129,C00510
1318,1.14.14.129,C03024
1320,1.14.14.129,C02050
1321,1.14.14.134,C19732
1322,1.14.14.134,C03161
1324,1.14.14.134,C08980
1325,1.14.14.134,C08616
1326,1.14.14.134,C03024
1328,1.14.14.134,C19733
1329,1.14.14.135,C03161
1331,1.14.14.135,C15511
1332,1.14.14.135,C15509
1333,1.14.14.135,C03024
1335,1.14.14.135,C15510
1336,1.14.14.145,C06087
1337,1.14.14.145,C03161
1339,1.14.14.145,C20329
1340,1.14.14.145,C11887
1341,1.14.14.145,C11882
1342,1.14.14.145,C03024
1346,1.14.14.147,C15801
1347,1.14.14.147,C03161
1349,1.14.14.147,C15800
1350,1.14.14.147,C16251
1351,1.14.14.147,C03024
1353,1.14.14.147,C15797
1354,1.14.14.150,C09382
1355,1.14.14.150,C03161
1357,1.14.14.150,C21922
1358,1.14.14.150,C19678
1359,1.14.14.150,C03024
1362,1.14.14.151,C09737
1363,1.14.14.151,C03161
1365,1.14.14.151,C19711
1366,1.14.14.151,C12142
1367,1.14.14.151,C03024
1370,1.14.14.152,C19943
1371,1.14.14.152,C03161
1373,1.14.14.152,C19942
1374,1.14.14.152,C08616
1375,1.14.14.152,C03024
1378,1.14.14.154,C21919
1379,1.14.14.154,C00058
1380,1.14.14.154,C03161
1382,1.14.14.154,C21920
1383,1.14.14.154,C21921
1384,1.14.14.154,C21918
1385,1.14.14.154,C03024
1388,1.14.14.156,C02937
1389,1.14.14.156,C03161
1392,1.14.14.156,C19716
1393,1.14.14.156,C19717
1394,1.14.14.156,C00078
1395,1.14.14.156,C03024
1399,1.14.14.158,C15981
1401,1.14.14.158,C08601
1402,1.14.14.158,C05433
1404,1.14.14.158,C08590
1405,1.14.14.159,C22009
1407,1.14.14.159,C03161
1408,1.14.14.159,C22010
1409,1.14.14.159,C22008
1411,1.14.14.159,C03024
1413,1.14.14.160,C22011
1415,1.14.14.160,C03161
1416,1.14.14.160,C22012
1417,1.14.14.160,C22013
1418,1.14.14.160,C19752
1420,1.14.14.160,C03024
1422,1.14.14.161,C20789
1423,1.14.14.161,C03161
1425,1.14.14.161,C22014
1426,1.14.14.161,C06070
1427,1.14.14.161,C09804
1428,1.14.14.161,C03024
1432,1.14.14.169,C09440
1433,1.14.14.169,C03161
1435,1.14.14.169,C22050
1436,1.14.14.169,C22049
1437,1.14.14.169,C03024
1440,1.14.14.170,C22054
1441,1.14.14.170,C03161
1443,1.14.14.170,C22051
1444,1.14.14.170,C19678
1445,1.14.14.170,C03024
1448,1.14.15.6,C01953
1449,1.14.15.6,C02373
1450,1.14.15.6,C00667
1452,1.14.15.6,C05502
1453,1.14.15.6,C00187
1454,1.14.15.6,C00662
1458,1.14.15.9,C15903
1459,1.14.15.9,C00139
1461,1.14.15.9,C15884
1462,1.14.15.9,C15885
1463,1.14.15.9,C15900
1464,1.14.15.9,C00138
1467,1.14.15.9,C15881
1469,1.14.15.15,C00667
1471,1.14.15.15,C05454
1472,1.14.15.15,C00662
1475,1.14.15.16,C18231
1476,1.14.15.16,C00667
1478,1.14.15.16,C07712
1479,1.14.15.16,C01673
1480,1.14.15.16,C00662
1483,1.14.15.16,C01561
1484,1.14.15.17,C18022
1485,1.14.15.17,C00139
1486,1.14.15.17,C21192
1488,1.14.15.17,C18021
1489,1.14.15.17,C00138
1494,1.14.15.18,C01673
1495,1.14.15.18,C00667
1497,1.14.15.18,C18231
1498,1.14.15.18,C01561
1499,1.14.15.18,C00662
1502,1.14.15.18,C07712
1503,1.14.15.21,C08614
1504,1.14.15.21,C00139
1506,1.14.15.21,C08579
1507,1.14.15.21,C06098
1508,1.14.15.21,C00138
1512,1.14.15.22,C01561
1513,1.14.15.22,C00139
1515,1.14.15.22,C01673
1516,1.14.15.22,C05443
1518,1.14.15.22,C00138
1521,1.14.15.24,C06098
1522,1.14.15.24,C00139
1524,1.14.15.24,C08591
1525,1.14.15.24,C02094
1526,1.14.15.24,C00138
1530,1.14.15.26,C00556
1531,1.14.15.26,C00139
1533,1.14.15.26,C06757
1534,1.14.15.26,C07216
1535,1.14.15.26,C01455
1537,1.14.15.26,C00138
1539,1.14.15.26,C06756
1540,1.14.15.26,C07208
1541,1.14.15.28,C20839
1543,1.14.15.28,C21303
1544,1.14.15.28,C21305
1545,1.14.15.28,C00599
1549,1.14.15.29,C21076
1550,1.14.15.29,C00139
1552,1.14.15.29,C20143
1553,1.14.15.29,C21304
1554,1.14.15.29,C00599
1555,1.14.15.29,C00138
1560,1.14.15.32,C19939
1561,1.14.15.32,C00139
1563,1.14.15.32,C19938
1564,1.14.15.32,C01841
1565,1.14.15.32,C00138
1569,1.14.15.33,C11999
1570,1.14.15.33,C00139
1572,1.14.15.33,C20739
1573,1.14.15.33,C11996
1574,1.14.15.33,C11995
1575,1.14.15.33,C20741
1576,1.14.15.33,C11998
1577,1.14.15.33,C00138
1580,1.14.15.33,C11994
1581,1.14.18.1,C00822
1583,1.14.18.1,C00355
1584,1.14.18.1,C00082
1587,1.14.18.9,C04840
1588,1.14.18.9,C00996
1590,1.14.18.9,C04814
1591,1.14.18.9,C11509
1592,1.14.18.9,C04530
1593,1.14.18.9,C00999
1598,1.14.19.3,C03035
1599,1.14.19.3,C00996
1601,1.14.19.3,C16163
1602,1.14.19.3,C02050
1603,1.14.19.3,C00999
1606,1.14.19.3,C16162
1607,1.14.19.4,C00996
1609,1.14.19.4,C00999
1612,1.14.19.6,C02050
1613,1.14.19.6,C00996
1615,1.14.19.6,C21000
1616,1.14.19.6,C00510
1617,1.14.19.6,C00999
1620,1.14.19.6,C21072
1621,1.14.19.12,C21530
1622,1.14.19.12,C00996
1624,1.14.19.12,C21532
1625,1.14.19.12,C21529
1626,1.14.19.12,C00999
1629,1.14.19.12,C21531
1630,1.14.19.29,C21024
1631,1.14.19.29,C00996
1633,1.14.19.29,C21025
1634,1.14.19.29,C12145
1635,1.14.19.29,C00999
1638,1.14.19.30,C00996
1640,1.14.19.30,C00999
1643,1.14.19.31,C00996
1645,1.14.19.31,C00999
1648,1.14.19.32,C20996
1649,1.14.19.32,C00996
1651,1.14.19.32,C20997
1652,1.14.19.32,C00154
1653,1.14.19.32,C00999
1656,1.14.19.33,C00996
1658,1.14.19.33,C21529
1659,1.14.19.33,C00999
1662,1.14.19.34,C00996
1664,1.14.19.34,C00999
1667,1.14.19.35,C00139
1669,1.14.19.35,C21531
1670,1.14.19.35,C00138
1673,1.14.19.35,C21529
1674,1.14.19.36,C00139
1676,1.14.19.36,C00138
1679,1.14.19.37,C21082
1682,1.14.19.37,C21083
1683,1.14.19.37,C16180
1686,1.14.19.37,C16179
1687,1.14.19.38,C00996
1689,1.14.19.38,C00999
1692,1.14.19.44,C02249
1693,1.14.19.44,C00996
1695,1.14.19.44,C16165
1696,1.14.19.44,C03595
1697,1.14.19.44,C00999
1700,1.14.19.44,C16164
1701,1.14.19.47,C00996
1703,1.14.19.47,C21531
1704,1.14.19.47,C00999
1707,1.14.19.47,C21529
1708,1.14.19.50,C21406
1709,1.14.19.50,C03161
1711,1.14.19.50,C21405
1712,1.14.19.50,C16702
1713,1.14.19.50,C03024
1715,1.14.19.52,C21721
1716,1.14.19.52,C01326
1718,1.14.19.52,C03161
1720,1.14.19.52,C21722
1721,1.14.19.52,C21719
1722,1.14.19.52,C03024
1725,1.14.19.55,C14521
1729,1.14.19.55,C21850
1730,1.14.19.55,C21852
1731,1.14.19.55,C21853
1732,1.14.19.55,C00156
1734,1.14.19.55,C01324
1738,1.14.19.55,C00230
1743,1.14.19.56,C00698
1748,1.14.19.57,C01324
1750,1.14.19.59,C21866
1753,1.14.19.59,C21867
1754,1.14.19.59,C00078
1756,1.14.19.59,C00698
1759,1.14.19.59,C00525
1760,1.14.19.63,C10522
1761,1.14.19.63,C03161
1763,1.14.19.63,C19727
1764,1.14.19.63,C01562
1765,1.14.19.63,C03024
1767,1.14.19.63,C10520
1768,1.14.19.69,C18013
1769,1.14.19.69,C00139
1771,1.14.19.69,C18014
1772,1.14.19.69,C18012
1773,1.14.19.69,C00138
1776,1.14.19.74,C21954
1778,1.14.19.74,C10882
1779,1.14.19.74,C05366
1782,1.14.19.75,C22018
1783,1.14.19.75,C00996
