,entry,KEGG,PubChem,CID,SMILES
1066,1.3.1.117,C00223,3523,6440013,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C/C4=CC=C(C=C4)O)O
1074,1.3.1.3,C00762,4024,222786,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C
1073,1.3.1.3,C03091,5989,92132,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CCC(=O)C4)C)C
814,1.3.1.3,C00599,3875,91477,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
1076,1.3.1.81,C09893,12079,442495,C[C@@H]1CCC(=C(C)C)C(=O)C1
1075,1.3.1.81,C11952,14113,70962,C[C@@H]1CC[C@@H](C(=O)C1)C(C)C
334,1.3.1.81,C00843,4100,26447,C[C@@H]1CC[C@H](C(=O)C1)C(C)C
1077,1.3.1.87,C12622,583012,5282145,C1=C[C@@H]([C@@H](C(=C1)/C=C/C(=O)O)O)O
329,1.3.1.87,C11588,13753,443290,C1=C[C@@H]([C@@H](C(=C1)CCC(=O)O)O)O
231,1.3.1.87,C12623,583013,5282146,C1=CC(=C(C(=C1)O)O)/C=C/C(=O)O
236,1.3.1.87,C04044,6745,20,C1=CC(=C(C(=C1)O)O)CCC(=O)O
1078,1.3.2.3,C01115,4347,6857365,C([C@@H]([C@@H]1[C@H]([C@@H](C(=O)O1)O)O)O)O
1079,1.3.2.3,C00126,3426,none,none
1083,1.3.2.3,C00125,3425,none,none
184,1.3.2.3,C00072,3372,54670067,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
202,1.3.2.3,C05422,7786,440667,C([C@@H]([C@@H]1C(=O)C(=O)C(=O)O1)O)O
1088,1.3.3.13,C20519,172232268,7076347,CC(C)C[C@H]1C(=O)N[C@H](C(=O)N1)CC2=CC=CC=C2
1087,1.3.3.13,C20520,172232269,6109346,CC(C)/C=C\1/C(=O)N/C(=C\C2=CC=CC=C2)/C(=O)N1
1089,1.3.3.13,C20521,172232270,6865700,CC(C)C[C@H]1C(=O)N/C(=C\C2=CC=CC=C2)/C(=O)N1
1099,1.3.5.5,C02061,5150,10219885,CC1=C(C(=O)C(=CC1=O)CC=C(C)C)C
1098,1.3.5.5,C19765,135626232,51351778,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/C=C\C=C(/C)\C=C\C=C(\C)/CC/C=C(\C)/CCC=C(C)C)/C)/C)/C)C
1097,1.3.5.5,C19764,135626231,24755586,CC(=CCC/C(=C/CC/C(=C\C=C\C(=C\C=C/C=C(/C=C/C=C(\CC/C=C(/CCC=C(C)C)\C)/C)\C)\C)/C)/C)C
1090,1.3.5.5,C16693,51091015,24892729,CC1=C(C=C(C(=C1C)O)CC=C(C)C)O
1091,1.3.5.5,C05421,7785,9963391,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/C=C\C=C(\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)/C)/C)C
1102,1.3.5.6,C19759,135626226,25244751,CC(=CCC/C(=C/CC/C(=C\C=C\C(=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C\C=C(/C)\CCC=C(C)C)\C)/C)/C)C
1100,1.3.5.6,C15602,17396594,none,none
1101,1.3.5.6,C15857,47205177,6440490,CC(=CCC/C(=C/CC/C(=C\C=C\C(=C\C=C\C=C(\C=C\C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)\C)/C)/C)C
1103,1.3.5.6,C15603,17396595,none,none
1104,1.3.5.6,C15858,47205178,10918539,CC(=CCC/C(=C/C=C\C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(\C=C/C=C(/CCC=C(C)C)\C)/C)\C)/C)\C)/C)C
341,1.3.7.15,C02139,5218,439664,CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5[C@H]([C@@H](C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)[C@H](C4=O)C(=O)OC)C)C.[Mg+2]
1105,1.3.7.15,C18152,96024369,46174055,CCC1C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5[C@H]([C@@H](C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)[C@H](C4=O)C(=O)OC)C)C.[Mg+2]
141,1.3.7.15,C18153,96024370,46174057,CCC1C(C2=CC3=C(C(=C([N-]3)C=C4[C@H]([C@@H](C(=N4)C5=C6C(=C(C(=CC1=N2)[N-]6)C)C(=O)[C@@H]5C(=O)OC)CCC(=O)O)C)C)C(C)O)C.[Mg+2]
